locationid,zone,aisle,bay
353616,DWD,4,12
356695,DWD,4,13
359623,DWD,4,16
360020,DWD,4,17
360452,DWD,4,18
360672,DWD,4,19
361322,DWD,4,20
361389,DWD,4,21
361755,DWD,4,22
361756,DWD,4,23
361767,DWD,4,24
361887,DWD,4,25
350436,DWD,4,4
350502,DWD,4,5
351895,DWD,4,7
352499,DWD,4,9
210182,G,0,10
210183,G,0,12
210184,G,0,14
210185,G,0,16
210186,G,0,18
210178,G,0,2
210187,G,0,20
210188,G,0,22
210189,G,0,24
210190,G,0,26
210191,G,0,28
210192,G,0,30
210193,G,0,32
210194,G,0,34
210195,G,0,36
210196,G,0,38
210179,G,0,4
210197,G,0,40
210198,G,0,42
210199,G,0,44
210200,G,0,46
210201,G,0,48
210202,G,0,50
210203,G,0,52
210204,G,0,54
210205,G,0,56
210206,G,0,58
210180,G,0,6
210207,G,0,60
210208,G,0,62
210209,G,0,64
210210,G,0,66
210211,G,0,68
210212,G,0,70
210213,G,0,72
210214,G,0,74
210215,G,0,76
210181,G,0,8
197436,G,1,1
197445,G,1,10
197446,G,1,11
197447,G,1,12
197448,G,1,13
197449,G,1,14
197450,G,1,15
197451,G,1,16
197452,G,1,17
197453,G,1,18
197454,G,1,19
197437,G,1,2
197455,G,1,20
197456,G,1,21
197457,G,1,22
197458,G,1,23
197459,G,1,24
197460,G,1,25
197461,G,1,26
197462,G,1,27
197463,G,1,28
197464,G,1,29
197438,G,1,3
197465,G,1,30
197466,G,1,31
197467,G,1,32
197468,G,1,33
197469,G,1,34
197470,G,1,35
197471,G,1,36
197472,G,1,37
197473,G,1,38
197474,G,1,39
197439,G,1,4
197475,G,1,40
197476,G,1,41
197477,G,1,42
197478,G,1,43
197479,G,1,44
197480,G,1,45
197481,G,1,46
197482,G,1,47
197483,G,1,48
197484,G,1,49
197440,G,1,5
197485,G,1,50
197486,G,1,51
197487,G,1,52
197488,G,1,53
197489,G,1,54
197490,G,1,55
197491,G,1,56
197492,G,1,57
197493,G,1,58
197494,G,1,59
197441,G,1,6
197495,G,1,60
197496,G,1,61
197497,G,1,62
197498,G,1,63
197499,G,1,64
197500,G,1,65
197501,G,1,66
197502,G,1,67
197503,G,1,68
198523,G,1,69
197442,G,1,7
198524,G,1,70
198525,G,1,71
198526,G,1,72
198527,G,1,73
198528,G,1,74
198529,G,1,75
198530,G,1,76
197443,G,1,8
197444,G,1,9
197368,G,2,1
197377,G,2,10
197378,G,2,11
197379,G,2,12
197380,G,2,13
197381,G,2,14
197382,G,2,15
197383,G,2,16
197384,G,2,17
197385,G,2,18
197386,G,2,19
197369,G,2,2
197387,G,2,20
197388,G,2,21
197389,G,2,22
197390,G,2,23
197391,G,2,24
197392,G,2,25
197393,G,2,26
197394,G,2,27
197395,G,2,28
197396,G,2,29
197370,G,2,3
197397,G,2,30
197398,G,2,31
197399,G,2,32
197400,G,2,33
197401,G,2,34
197402,G,2,35
197403,G,2,36
197404,G,2,37
197405,G,2,38
197406,G,2,39
197371,G,2,4
197407,G,2,40
197408,G,2,41
197409,G,2,42
197410,G,2,43
197411,G,2,44
197412,G,2,45
197413,G,2,46
197414,G,2,47
197415,G,2,48
197416,G,2,49
197372,G,2,5
197417,G,2,50
197418,G,2,51
197419,G,2,52
197420,G,2,53
197421,G,2,54
197422,G,2,55
197423,G,2,56
197424,G,2,57
197425,G,2,58
197426,G,2,59
197373,G,2,6
197427,G,2,60
197428,G,2,61
197429,G,2,62
197430,G,2,63
197431,G,2,64
197432,G,2,65
197433,G,2,66
197434,G,2,67
197435,G,2,68
198515,G,2,69
197374,G,2,7
198516,G,2,70
198517,G,2,71
198518,G,2,72
198519,G,2,73
198520,G,2,74
198521,G,2,75
198522,G,2,76
197375,G,2,8
197376,G,2,9
197300,G,3,1
197309,G,3,10
197310,G,3,11
197311,G,3,12
197312,G,3,13
197313,G,3,14
197314,G,3,15
197315,G,3,16
197316,G,3,17
197317,G,3,18
197318,G,3,19
197319,G,3,20
197320,G,3,21
197321,G,3,22
197322,G,3,23
197323,G,3,24
197324,G,3,25
197325,G,3,26
197326,G,3,27
197327,G,3,28
197328,G,3,29
197302,G,3,3
197329,G,3,30
197330,G,3,31
197331,G,3,32
197332,G,3,33
197333,G,3,34
197334,G,3,35
197335,G,3,36
197336,G,3,37
197337,G,3,38
197338,G,3,39
197339,G,3,40
197340,G,3,41
197341,G,3,42
197342,G,3,43
197343,G,3,44
197344,G,3,45
197345,G,3,46
197346,G,3,47
197347,G,3,48
197348,G,3,49
197304,G,3,5
197349,G,3,50
197350,G,3,51
197351,G,3,52
197352,G,3,53
197353,G,3,54
197354,G,3,55
197355,G,3,56
197356,G,3,57
197357,G,3,58
197358,G,3,59
197359,G,3,60
197360,G,3,61
197361,G,3,62
197362,G,3,63
197363,G,3,64
197364,G,3,65
197365,G,3,66
197366,G,3,67
197367,G,3,68
198507,G,3,69
197306,G,3,7
198508,G,3,70
198509,G,3,71
198510,G,3,72
198511,G,3,73
198512,G,3,74
198513,G,3,75
198514,G,3,76
197308,G,3,9
197242,G,4,11
197243,G,4,12
197244,G,4,13
197245,G,4,14
197246,G,4,15
197247,G,4,16
197248,G,4,17
197249,G,4,18
197250,G,4,19
197251,G,4,20
197252,G,4,21
197253,G,4,22
197254,G,4,23
197255,G,4,24
197256,G,4,25
197257,G,4,26
197258,G,4,27
197259,G,4,28
197260,G,4,29
197261,G,4,30
197262,G,4,31
197264,G,4,33
197265,G,4,34
